Zip Code,Price,Status,URL
12309,"$395,000",New construction,https://www.zillow.com/homedetails/8-Victoria-Dr-Glenville-NY-12309/201939318_zpid/
12302,"$350,000",Lot/land,https://www.zillow.com/homedetails/0-Johnson-Rd-Glenville-NY-12302/2106647580_zpid/
12309,"$479,900",New construction,https://www.zillow.com/homedetails/3-Espen-Pl-Niskayuna-NY-12309/2086212061_zpid/
12309,"$439,400",New construction,https://www.zillow.com/community/forest-hills/145553479_zpid/
12304,"$475,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433969_zpid/
12304,"$419,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433971_zpid/
12304,"$429,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433965_zpid/
12304,"$369,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433956_zpid/
12309,"$442,400",New construction,https://www.zillow.com/community/forest-hills/145553468_zpid/
12304,"$360,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433953_zpid/
12304,"$374,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433955_zpid/
12304,"$379,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433939_zpid/
12309,"$429,000",New construction,https://www.zillow.com/community/forest-hills/2088665870_zpid/
12309,"$457,400",New construction,https://www.zillow.com/community/forest-hills/145553350_zpid/
12309,"$432,400",New construction,https://www.zillow.com/community/forest-hills/2088665871_zpid/
12309,"$461,400",New construction,https://www.zillow.com/community/forest-hills/145553365_zpid/
12309,"$522,400",New construction,https://www.zillow.com/community/forest-hills/145553336_zpid/
12309,"$480,400",New construction,https://www.zillow.com/community/forest-hills/145553333_zpid/
12309,"$457,400",New construction,https://www.zillow.com/community/forest-hills/145553331_zpid/
12309,"$467,400",New construction,https://www.zillow.com/community/forest-hills/145553332_zpid/
12309,"$473,400",New construction,https://www.zillow.com/community/forest-hills/145553334_zpid/
12309,"$462,400",New construction,https://www.zillow.com/community/forest-hills/145553330_zpid/
12309,"$453,400",New construction,https://www.zillow.com/community/forest-hills/145553328_zpid/
12309,"$423,400",New construction,https://www.zillow.com/community/forest-hills/145553323_zpid/
12304,"$424,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433923_zpid/
12304,"$424,900",New construction,https://www.zillow.com/community/windsor-oaks/2082491071_zpid/
12304,"$379,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433930_zpid/
12304,"$389,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433936_zpid/
12304,"$399,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433946_zpid/
12304,"$489,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433940_zpid/
No Data,,No Data,https://www.zillow.com/captchaPerimeterX/?url=%2fcommunity%2fwindsor-oaks%2f2082433967_zpid%2f&uuid=8de10de0-b7bd-11ea-bd2a-e7265ffca3bc&vid=
No Data,,No Data,https://www.zillow.com/captchaPerimeterX/?url=%2fcommunity%2fwindsor-oaks%2f2082433926_zpid%2f&uuid=8de66510-b7bd-11ea-b939-4105bef4c0ff&vid=
No Data,,No Data,https://www.zillow.com/captchaPerimeterX/?url=%2fcommunity%2fwindsor-oaks%2f2082433928_zpid%2f&uuid=8de9c070-b7bd-11ea-ad28-5dd4dd78d42f&vid=
No Data,,No Data,https://www.zillow.com/captchaPerimeterX/?url=%2fcommunity%2fwindsor-oaks%2f2082433933_zpid%2f&uuid=8df977e0-b7bd-11ea-9aff-fd0f0faaccfa&vid=
No Data,,No Data,https://www.zillow.com/captchaPerimeterX/?url=%2fcommunity%2fwindsor-oaks%2f2082433942_zpid%2f&uuid=8dfde4b0-b7bd-11ea-b9d0-0bc561ee6ac2&vid=
No Data,,No Data,https://www.zillow.com/captchaPerimeterX/?url=%2fcommunity%2fwindsor-oaks%2f2082433934_zpid%2f&uuid=8e00f1f0-b7bd-11ea-a38b-e17fb905fc5d&vid=
No Data,,No Data,https://www.zillow.com/captchaPerimeterX/?url=%2fcommunity%2fwindsor-oaks%2f2082433941_zpid%2f&uuid=8e020360-b7bd-11ea-a147-6b9cb01d543c&vid=
No Data,,No Data,https://www.zillow.com/captchaPerimeterX/?url=%2fcommunity%2fwindsor-oaks%2f2082433944_zpid%2f&uuid=8e086c00-b7bd-11ea-aa10-d1381ecbd301&vid=
No Data,,No Data,https://www.zillow.com/captchaPerimeterX/?url=%2fcommunity%2fwindsor-oaks%2f2082433943_zpid%2f&uuid=8e103430-b7bd-11ea-aa10-d1381ecbd301&vid=
No Data,,No Data,https://www.zillow.com/captchaPerimeterX/?url=%2fcommunity%2fwindsor-oaks%2f2082433948_zpid%2f&uuid=8e195bf0-b7bd-11ea-b7da-758adfb25c64&vid=
