Zip Code,Price,Status,URL
12303,"$564,900",For sale,https://www.zillow.com/homedetails/500-Platinum-Ln-Schenectady-NY-12303/98589814_zpid/
12304,"$399,900",New construction,https://www.zillow.com/community/windsor-oaks/2082433946_zpid/
12306,"$279,900",New construction,https://www.zillow.com/homedetails/406-Steeple-Way-Schenectady-NY-12306/102013616_zpid/
12303,"$89,000",For sale by owner,https://www.zillow.com/homedetails/2802-Coles-Ln-Schenectady-NY-12303/2085250986_zpid/
12303,"$89,000",For sale by owner,https://www.zillow.com/homedetails/2800-Coles-Ln-Schenectady-NY-12303/2085161386_zpid/
12309,"$585,000",New construction,https://www.zillow.com/homedetails/6-Espen-Pl-Niskayuna-NY-12309/2085149403_zpid/
12305,"$94,999",For sale by owner,https://www.zillow.com/homedetails/115-N-Ferry-St-Schenectady-NY-12305/32462646_zpid/
12306,"$80,000",For sale,https://www.zillow.com/homedetails/340-Duanesburg-Rd-Schenectady-NY-12306/32499034_zpid/
NY,"$549,000",For sale,https://www.zillow.com/homedetails/1-Countryside-Ct-Burnt-Hills-NY-12027/70914503_zpid/
12306,,Foreclosed,https://www.zillow.com/homedetails/1495-Broadway-Schenectady-NY-12306/32468554_zpid/
12309,"$594,800",New construction,https://www.zillow.com/homedetails/28-Bergen-Pl-Niskayuna-NY-12309/2085156677_zpid/
12306,"$338,900",New construction,https://www.zillow.com/homedetails/311-Steeple-Way-Schenectady-NY-12306/102017153_zpid/
12309,"$188,210",Foreclosed,https://www.zillow.com/homedetails/29-East-St-Niskayuna-NY-12309/32488857_zpid/
12304,"$159,000",For sale,https://www.zillow.com/homedetails/2208-Central-Ave-Schenectady-NY-12304/29684469_zpid/
12309,"$14,900",Lot/land,https://www.zillow.com/homedetails/00-Verona-Ave-Schenectady-NY-12309/2084370751_zpid/
12309,"$14,900",Lot/land,https://www.zillow.com/homedetails/0-Verona-Ave-Schenectady-NY-12309/2084370654_zpid/
12305,"$269,900",For sale,https://www.zillow.com/homedetails/1147-Barrett-St-Schenectady-NY-12305/2084287787_zpid/
12305,"$273,400",For sale,https://www.zillow.com/homedetails/1163-Barrett-St-Schenectady-NY-12305/2084287504_zpid/
12305,"$269,900",For sale,https://www.zillow.com/homedetails/1159-Barrett-St-Schenectady-NY-12305/2084287505_zpid/
12305,"$269,900",For sale,https://www.zillow.com/homedetails/1155-Barrett-St-Schenectady-NY-12305/2084287569_zpid/
12309,"$819,000",For sale,https://www.zillow.com/homedetails/220-Brittany-Pl-Niskayuna-NY-12309/99344143_zpid/
12309,"$209,900",For sale,https://www.zillow.com/homedetails/961-Douglas-Ct-Niskayuna-NY-12309/32495009_zpid/
12309,"$319,900",New construction,https://www.zillow.com/homedetails/18-Napa-Ct-Schenectady-NY-12309/119162244_zpid/
12309,"$603,900",New construction,https://www.zillow.com/homedetails/14-Espen-Pl-Niskayuna-NY-12309/2086195749_zpid/
12302,"$299,000",For sale,https://www.zillow.com/homedetails/1695-Amsterdam-Rd-Glenville-NY-12302/32487030_zpid/
12303,"$444,900",For sale,https://www.zillow.com/homedetails/6002-Queen-Mary-Ct-Schenectady-NY-12303/66461643_zpid/
12309,"$559,900",New construction,https://www.zillow.com/homedetails/49-Bergen-Pl-Niskayuna-NY-12309/2083662141_zpid/
12309,"$299,000",For sale,https://www.zillow.com/homedetails/967-Riverview-Rd-Niskayuna-NY-12309/32495417_zpid/
12305,"$260,900",For sale,https://www.zillow.com/homedetails/1151-Barrett-St-Schenectady-NY-12305/102041443_zpid/
12307,"$25,000",For sale,https://www.zillow.com/homedetails/337-Germania-Ave-Schenectady-NY-12307/32467377_zpid/
12307,"$40,000",For sale,https://www.zillow.com/homedetails/817-Strong-St-Schenectady-NY-12307/32468738_zpid/
12309,"$619,900",New construction,https://www.zillow.com/homedetails/30-Bergen-Pl-Niskayuna-NY-12309/2085149402_zpid/
12308,"$129,000",For sale,https://www.zillow.com/homedetails/1050-University-Pl-1052-Schenectady-NY-12308/2081634288_zpid/
12309,"$479,900",New construction,https://www.zillow.com/homedetails/9-Espen-Pl-Niskayuna-NY-12309/2081736708_zpid/
12309,"$419,000",For sale,https://www.zillow.com/homedetails/1004-Merlin-Dr-Niskayuna-NY-12309/32494941_zpid/
12304,"$211,748",Pre-foreclosure,https://www.zillow.com/homedetails/437-Stanford-Ave-Schenectady-NY-12304/32493977_zpid/
12307,"$144,900",For sale,https://www.zillow.com/homedetails/746-Albany-St-Schenectady-NY-12307/32467408_zpid/
12309,"$190,079",Foreclosed,https://www.zillow.com/homedetails/66-East-St-Niskayuna-NY-12309/32488864_zpid/
12303,"$133,900",For sale,https://www.zillow.com/homedetails/1976-Curry-Rd-H158-Schenectady-NY-12303/32503250_zpid/
12309,"$474,900",New construction,https://www.zillow.com/homedetails/15-Espen-Pl-Niskayuna-NY-12309/2086212065_zpid/
12304,"$71,000",Foreclosure,https://www.zillow.com/homedetails/222-Linden-St-Schenectady-NY-12304/32470380_zpid/
12302,"$254,400",New construction,https://www.zillow.com/homedetails/803-Grayson-Pl-Schenectady-NY-12302/201943299_zpid/
12302,"$251,815",New construction,https://www.zillow.com/homedetails/1102-Grayson-Pl-Schenectady-NY-12302/201943287_zpid/
12306,"$249,900",For sale,https://www.zillow.com/homedetails/10-S-Westcott-Rd-Schenectady-NY-12306/32501499_zpid/
12302,"$243,700",For sale,https://www.zillow.com/homedetails/112-Woodhaven-Dr-Glenville-NY-12302/32486690_zpid/
12308,"$160,053",Pre-foreclosure,https://www.zillow.com/homedetails/1220-Parkwood-Blvd-Schenectady-NY-12308/32465074_zpid/
12303,"$119,900",For sale,https://www.zillow.com/homedetails/1330-10th-Ave-Schenectady-NY-12303/32472806_zpid/
12304,"$108,159",Foreclosed,https://www.zillow.com/homedetails/1568-Bradley-St-Schenectady-NY-12304/32469236_zpid/
12309,"$174,900",For sale,https://www.zillow.com/homedetails/2314-Gurenson-Ln-Schenectady-NY-12309/32491896_zpid/
12304,"$124,000",For sale,https://www.zillow.com/homedetails/1860-Becker-St-Schenectady-NY-12304/32472518_zpid/
12303,"$191,587",Pre-foreclosure,https://www.zillow.com/homedetails/2726-Curry-Rd-Schenectady-NY-12303/29683627_zpid/
12309,"$599,900",New construction,https://www.zillow.com/homedetails/13-Espen-Pl-Niskayuna-NY-12309/2082299331_zpid/
